timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1751093068398,223,Select sub type-81,200,,Thread Group 1-6,text,true,,3807,655,2,2,https://petstore.octoperf.com/actions/Catalog.action?viewItem=&itemId=EST-1,223,0,0
1751093068304,223,Select sub type,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,3807,655,2,2,null,223,95,0
1751093068693,287,Add pet to cart-83,200,,Thread Group 1-6,text,true,,4664,655,2,2,https://petstore.octoperf.com/actions/Cart.action?addItemToCart=&workingItemId=EST-1,287,0,0
1751093068622,287,Add pet to cart,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,4664,655,2,2,null,287,72,0
1751093068643,577,Sign Out-87,200,,Thread Group 1-5,text,true,,5278,1255,2,2,https://petstore.octoperf.com/actions/Catalog.action,337,0,0
1751093068643,337,Sign Out-87-0,302,,Thread Group 1-5,,true,,230,632,2,2,https://petstore.octoperf.com/actions/Account.action?signoff=,337,0,0
1751093068981,239,Sign Out-87-1,200,,Thread Group 1-5,text,true,,5048,623,2,2,https://petstore.octoperf.com/actions/Catalog.action,239,0,0
1751093069053,228,Proceed to checkout-84,200,,Thread Group 1-6,text,true,,4222,644,2,2,https://petstore.octoperf.com/actions/Order.action?newOrderForm=,228,0,0
1751093068981,228,Proceed to checkout,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,4222,644,2,2,null,228,72,0
1751093069221,225,Sign Out-88,200,,Thread Group 1-5,text,true,,4973,623,2,2,https://petstore.octoperf.com/actions/Catalog.action,224,0,0
1751093068583,802,Sign Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-5,,true,,10251,1878,2,2,null,561,61,0
1751093065584,3241,Transaction Controller,,"Number of samples in transaction : 19, number of failing samples : 1",Thread Group 1-5,,false,,59175,8607,2,2,null,2779,621,0
1751093069401,239,Payment Address-85,200,,Thread Group 1-6,text,true,,4504,1287,1,1,https://petstore.octoperf.com/actions/Order.action,239,0,0
1751093069281,239,Payment Address,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-6,,true,,4504,1287,1,1,null,239,120,0
1751093069706,225,Payment Confirmation-86,500,,Thread Group 1-6,text,false,,15419,621,1,1,https://petstore.octoperf.com/actions/Order.action?newOrder=&confirmed=true,220,0,0
1751093069640,225,Payment Confirmation,,"Number of samples in transaction : 1, number of failing samples : 1",Thread Group 1-6,,false,,15419,621,1,1,null,220,66,0
1751093070043,544,Sign Out-87,200,,Thread Group 1-6,text,true,,5278,1255,1,1,https://petstore.octoperf.com/actions/Catalog.action,310,0,0
1751093070043,310,Sign Out-87-0,302,,Thread Group 1-6,,true,,230,632,1,1,https://petstore.octoperf.com/actions/Account.action?signoff=,310,0,0
1751093070353,234,Sign Out-87-1,200,,Thread Group 1-6,text,true,,5048,623,1,1,https://petstore.octoperf.com/actions/Catalog.action,234,0,0
1751093070589,223,Sign Out-88,200,,Thread Group 1-6,text,true,,4973,623,1,1,https://petstore.octoperf.com/actions/Catalog.action,223,0,0
1751093069931,767,Sign Out,200,"Number of samples in transaction : 2, number of failing samples : 0",Thread Group 1-6,,true,,10251,1878,1,1,null,533,114,0
1751093067132,2937,Transaction Controller,,"Number of samples in transaction : 19, number of failing samples : 1",Thread Group 1-6,,false,,59173,8607,1,1,null,2696,743,0
